RUT;DV;NAC_DIA;NAC_MES;NAC_ANHO;NOMBRE;PATERNO;MATERNO;CALLE;NRO;COMUNA;EVEN_DIA;EVE_MES;EVE_ANHO;NOMBRE_ARTÍSTICO;ESTILO
19563827;3;31;8;1993;Cami ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Cami ;rap
15676646;1;28;2;1984;BBS Paranoicos ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;BBS Paranoicos ;metal
17756974;8;29;1;1989;Pedro Piedra ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Pedro Piedra ;electropop
18850230;7;27;12;1983;Tai Verdes ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Tai Verdes ;electro-house
15707844;7;27;11;1993;Tiro de Gracia ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Tiro de Gracia ;Rock alternativo
15803672;3;24;5;2005;Boombox Cartel ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Boombox Cartel ;electropop
14251333;3;20;8;2009;Cease ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Cease ;indie rock
16700989;1;29;4;2008;Jesse Baez ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Jesse Baez ;metal
21584979;8;13;10;1985;Hoppo! ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Hoppo! ;electro-house
22745978;9;6;12;1986;Pascuala Ilabaca & Fauna ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Pascuala Ilabaca & Fauna ;punk rock
24452648;7;30;5;2007;Yorka ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Yorka ;metal
14139082;9;6;6;2000;Rubio ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Rubio ;indie rock
14512414;5;21;7;2006;Javiera y Los Imposibles ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Javiera y Los Imposibles ;indie rock
15472125;3;4;11;2001;Soulfia ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Soulfia ;metal
16525806;9;22;9;1998;Rootz Hi-Fi ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Rootz Hi-Fi ;electro-house
14264864;2;1;6;1980;Slowwkiss ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Slowwkiss ;electropop
16179118;5;14;10;1994;Red Bull Batalla ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Red Bull Batalla ;Rock alternativo
22112594;6;23;7;1999;Catana ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Catana ;rap
22105291;2;4;12;1999;Soul de Lua ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Soul de Lua ;rap
22447519;8;14;2;1992;Jotape Psycho ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Jotape Psycho ;electropop
21065561;9;14;11;1985;Liz Santibáñez;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Liz Santibáñez;electro-house
16993803;2;1;11;1989;The Strokes ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;The Strokes ;Rock alternativo
13928496;3;21;9;1986;Machine Gun Kelly ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Machine Gun Kelly ;Rock alternativo
21038574;4;9;11;1980;Doja Cat ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Doja Cat ;metal
19196160;4;31;11;1980;Nicki Nicole ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Nicki Nicole ;electropop
14285996;4;25;1;1999;Kehlani ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Kehlani ;Rock alternativo
17929076;9;30;6;1991;Chris Lagos ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Chris Lagos ;electro-house
23657629;5;29;2;1994;LP ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;LP ;rap
23901471;2;7;6;1992;Jack Harlow ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Jack Harlow ;Rock alternativo
17171173;4;14;5;2002;Alan Walker ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Alan Walker ;rap
17245428;5;10;2;1987;King Gizzard & Yhe Lizard Wizard ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;King Gizzard & Yhe Lizard Wizard ;punk rock
23768755;5;27;4;1997;Ashnikko ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Ashnikko ;Rock alternativo
13714979;3;24;8;1991;Alok ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Alok ;rap
13674083;6;3;9;2008;Kramer ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Kramer ;rap
17523826;8;15;3;1991;JXDN ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;JXDN ;rap
16375652;4;23;3;1995;Marc Segui ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Marc Segui ;metal
22861710;2;4;5;1988;Princesa Alba ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Princesa Alba ;punk rock
23988646;2;29;10;2008;Marcianeke ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Marcianeke ;electro-house
23751546;8;5;5;1987;Drefquila ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Drefquila ;electropop
15097042;3;21;12;1997;Lucybell ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Lucybell ;electropop
22193541;4;11;1;2005;Inti Histórico & Quilapayún ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Inti Histórico & Quilapayún ;punk rock
22035203;6;7;11;2010;Micro TDH ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Micro TDH ;Rock alternativo
15410354;1;16;6;2006;070 Shake ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;070 Shake ;Rock alternativo
21412094;5;7;9;2007;Power Peralta ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Power Peralta ;electro-house
22595136;2;4;2;1980;C-Funk ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;C-Funk ;electropop
19055845;6;11;4;1986;Bitman ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Bitman ;electropop
21721685;9;26;8;1992;Cimafunk ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Cimafunk ;metal
14222551;9;28;4;1989;Mariel Mariel ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Mariel Mariel ;electropop
17567440;5;18;7;1990;Girl Ultra ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Girl Ultra ;Rock alternativo
16846595;1;12;1;1987;Nakeye ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Nakeye ;Rock alternativo
19191701;4;25;11;2008;Silvestre y La Naranja ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Silvestre y La Naranja ;punk rock
19979462;2;21;8;1988;Golden Dawn Arkestra ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Golden Dawn Arkestra ;electro-house
19525635;7;24;6;2005;BMF Squad ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;BMF Squad ;electropop
24171348;3;16;9;1985;Rootz Hi-Fi ;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Rootz Hi-Fi ;Rock alternativo
17655497;1;21;12;1997;Ghetto Kids;;;Parque Bicentenario;0;CERRILLOS;20;3;2022;Ghetto Kids;indie rock

